DATE,USACPIALLMINMEI,USACPIALLMINMEI %,CPIAUCSL,CPIAUCSL %,PCEPILFE,PCEPILFE %
1/1/2011,92.9144323,1.63%,221.187,1.70%,97.283,1.12%
2/1/2011,93.37262728,2.11%,221.898,2.12%,97.453,1.21%
3/1/2011,94.28311049,2.68%,223.046,2.62%,97.6,1.21%
4/1/2011,94.89023994,3.16%,224.093,3.08%,97.824,1.40%
5/1/2011,95.33662142,3.57%,224.806,3.46%,98.057,1.52%
6/1/2011,95.23451904,3.56%,224.806,3.50%,98.164,1.59%
7/1/2011,95.31890118,3.63%,225.395,3.58%,98.309,1.73%
8/1/2011,95.58175152,3.77%,226.106,3.75%,98.505,1.84%
9/1/2011,95.72688879,3.87%,226.597,3.81%,98.572,1.85%
10/1/2011,95.5294346,3.53%,226.75,3.52%,98.619,1.74%
11/1/2011,95.44884966,3.39%,227.169,3.45%,98.828,1.83%
12/1/2011,95.21342351,2.96%,227.223,3.06%,98.992,1.98%
1/1/2012,95.6323808,2.93%,227.842,3.01%,99.288,2.06%
2/1/2012,96.05344764,2.87%,228.329,2.90%,99.426,2.02%
3/1/2012,96.78293118,2.65%,228.807,2.58%,99.595,2.04%
4/1/2012,97.07531527,2.30%,229.187,2.27%,99.746,1.96%
5/1/2012,96.96139939,1.70%,228.713,1.74%,99.847,1.83%
6/1/2012,96.8192155,1.66%,228.524,1.65%,99.95,1.82%
7/1/2012,96.66142091,1.41%,228.59,1.42%,100.053,1.77%
8/1/2012,97.19935701,1.69%,229.918,1.69%,100.116,1.64%
9/1/2012,97.63308117,1.99%,231.015,1.95%,100.24,1.69%
10/1/2012,97.59510921,2.16%,231.638,2.16%,100.482,1.89%
11/1/2012,97.13269512,1.76%,231.249,1.80%,100.591,1.78%
12/1/2012,96.87111051,1.74%,231.221,1.76%,100.664,1.69%
1/1/2013,97.15758785,1.59%,231.679,1.68%,100.871,1.59%
2/1/2013,97.95331137,1.98%,232.937,2.02%,100.992,1.58%
3/1/2013,98.20941114,1.47%,232.282,1.52%,101.085,1.50%
4/1/2013,98.10730876,1.06%,231.797,1.14%,101.163,1.42%
5/1/2013,98.28197977,1.36%,231.893,1.39%,101.272,1.43%
6/1/2013,98.51782784,1.75%,232.445,1.72%,101.438,1.49%
7/1/2013,98.55664362,1.96%,232.9,1.89%,101.567,1.51%
8/1/2013,98.67520051,1.52%,233.456,1.54%,101.685,1.57%
9/1/2013,98.78996021,1.18%,233.544,1.09%,101.799,1.56%
10/1/2013,98.53554808,0.96%,233.669,0.88%,102.015,1.53%
11/1/2013,98.3342967,1.24%,234.1,1.23%,102.194,1.59%
12/1/2013,98.32585848,1.50%,234.719,1.51%,102.333,1.66%
1/1/2014,98.69165503,1.58%,235.288,1.56%,102.426,1.54%
2/1/2014,99.05660775,1.13%,235.547,1.12%,102.489,1.48%
3/1/2014,99.69453668,1.51%,236.028,1.61%,102.684,1.58%
4/1/2014,100.0232051,1.95%,236.468,2.02%,102.879,1.70%
5/1/2014,100.3725471,2.13%,236.918,2.17%,103.061,1.77%
6/1/2014,100.5594535,2.07%,237.231,2.06%,103.18,1.72%
7/1/2014,100.5202158,1.99%,237.498,1.97%,103.369,1.77%
8/1/2014,100.3522954,1.70%,237.46,1.72%,103.408,1.69%
9/1/2014,100.4278174,1.66%,237.477,1.68%,103.536,1.71%
10/1/2014,100.1755148,1.66%,237.43,1.61%,103.629,1.58%
11/1/2014,99.63462536,1.32%,236.983,1.23%,103.74,1.51%
12/1/2014,99.06968698,0.76%,236.252,0.65%,103.837,1.47%
1/1/2015,98.6034757,-0.09%,234.747,-0.23%,103.816,1.36%
2/1/2015,99.03171502,-0.03%,235.342,-0.09%,103.92,1.40%
3/1/2015,99.62112422,-0.07%,235.976,-0.02%,104.08,1.36%
4/1/2015,99.82364134,-0.20%,236.222,-0.10%,104.256,1.34%
5/1/2015,100.3324656,-0.04%,237.001,0.04%,104.385,1.28%
6/1/2015,100.6839172,0.12%,237.657,0.18%,104.511,1.29%
7/1/2015,100.6906678,0.17%,238.034,0.23%,104.603,1.19%
8/1/2015,100.548062,0.20%,238.033,0.24%,104.679,1.23%
9/1/2015,100.3915331,-0.04%,237.498,0.01%,104.814,1.23%
10/1/2015,100.3463887,0.17%,237.733,0.13%,104.829,1.16%
11/1/2015,100.1345895,0.50%,238.017,0.44%,104.94,1.16%
12/1/2015,99.79241995,0.73%,237.761,0.64%,105.009,1.13%
1/1/2016,99.95738702,1.37%,237.652,1.24%,105.204,1.34%
2/1/2016,100.0396596,1.02%,237.336,0.85%,105.369,1.39%
3/1/2016,100.4704304,0.85%,238.08,0.89%,105.521,1.38%
4/1/2016,100.9467675,1.13%,238.992,1.17%,105.786,1.47%
5/1/2016,101.3551771,1.02%,239.557,1.08%,105.948,1.50%
6/1/2016,101.6880646,1.00%,240.222,1.08%,106.077,1.50%
7/1/2016,101.5235194,0.83%,240.101,0.87%,106.257,1.58%
8/1/2016,101.6167617,1.06%,240.545,1.06%,106.456,1.70%
9/1/2016,101.8610479,1.46%,241.176,1.55%,106.579,1.68%
10/1/2016,101.9880431,1.64%,241.741,1.69%,106.737,1.82%
11/1/2016,101.8294046,1.69%,242.026,1.68%,106.789,1.76%
12/1/2016,101.8627356,2.07%,242.637,2.05%,106.929,1.83%
1/1/2017,102.4563639,2.50%,243.62,2.51%,107.204,1.90%
2/1/2017,102.7787036,2.74%,243.872,2.75%,107.357,1.89%
3/1/2017,102.8622419,2.38%,243.766,2.39%,107.307,1.69%
4/1/2017,103.1672834,2.20%,244.274,2.21%,107.587,1.70%
5/1/2017,103.2554627,1.87%,244.069,1.88%,107.699,1.65%
6/1/2017,103.3491269,1.63%,244.218,1.66%,107.876,1.70%
7/1/2017,103.277824,1.73%,244.28,1.74%,107.944,1.59%
8/1/2017,103.5870845,1.94%,245.205,1.94%,108.058,1.50%
9/1/2017,104.1355683,2.23%,246.551,2.23%,108.267,1.58%
10/1/2017,104.0697503,2.04%,246.657,2.03%,108.546,1.69%
11/1/2017,104.0722817,2.20%,247.378,2.21%,108.601,1.70%
12/1/2017,104.0111047,2.11%,247.736,2.10%,108.769,1.72%
1/1/2018,104.5777307,2.07%,248.721,2.09%,109.06,1.73%
2/1/2018,105.0519583,2.21%,249.3,2.23%,109.273,1.78%
3/1/2018,105.289494,2.36%,249.517,2.36%,109.542,2.08%
4/1/2018,105.7080294,2.46%,250.275,2.46%,109.752,2.01%
5/1/2018,106.1476603,2.80%,250.786,2.75%,109.969,2.11%
6/1/2018,106.3168465,2.87%,251.152,2.84%,110.106,2.07%
7/1/2018,106.324019,2.95%,251.345,2.89%,110.238,2.13%
8/1/2018,106.3830864,2.70%,251.735,2.66%,110.247,2.03%
9/1/2018,106.5067063,2.28%,252.183,2.28%,110.475,2.04%
10/1/2018,106.6948784,2.52%,252.899,2.53%,110.641,1.93%
11/1/2018,106.3375201,2.18%,252.822,2.20%,110.838,2.06%
12/1/2018,105.997882,1.91%,252.493,1.92%,111.006,2.06%
1/1/2019,106.1999772,1.55%,252.441,1.50%,111.06,1.83%
2/1/2019,106.6488902,1.52%,252.969,1.47%,111.096,1.67%
3/1/2019,107.2505348,1.86%,254.147,1.86%,111.254,1.56%
4/1/2019,107.8184265,2.00%,255.326,2.02%,111.607,1.69%
5/1/2019,108.0479459,1.79%,255.371,1.83%,111.744,1.61%
6/1/2019,108.0694634,1.65%,255.423,1.70%,111.997,1.72%
7/1/2019,108.2500411,1.81%,255.925,1.82%,112.15,1.73%
8/1/2019,108.2445563,1.75%,256.118,1.74%,112.289,1.85%
9/1/2019,108.3293603,1.71%,256.532,1.72%,112.367,1.71%
10/1/2019,108.5770219,1.76%,257.387,1.77%,112.54,1.72%
11/1/2019,108.5187982,2.05%,257.989,2.04%,112.576,1.57%
12/1/2019,108.4200711,2.29%,258.203,2.26%,112.824,1.64%
1/1/2020,108.8407161,2.49%,258.687,2.47%,113.04,1.78%
2/1/2020,109.1390069,2.33%,258.824,2.31%,113.215,1.91%
3/1/2020,108.9014712,1.54%,257.989,1.51%,113.15,1.70%
4/1/2020,108.1732534,0.33%,256.192,0.34%,112.628,0.91%
5/1/2020,108.1753629,0.12%,255.942,0.22%,112.864,1.00%
6/1/2020,108.7673036,0.65%,257.282,0.73%,113.265,1.13%
7/1/2020,109.3174751,0.99%,258.604,1.05%,113.61,1.30%
8/1/2020,109.6621761,1.31%,259.511,1.32%,113.971,1.50%
9/1/2020,109.8149078,1.37%,260.149,1.41%,114.131,1.57%
10/1/2020,109.8604741,1.18%,260.462,1.19%,114.137,1.42%
11/1/2020,109.7933903,1.17%,260.927,1.14%,114.134,1.38%
12/1/2020,109.8967585,1.36%,261.56,1.30%,114.494,1.48%
1/1/2021,110.3642355,1.40%,262.231,1.37%,114.746,1.51%
2/1/2021,110.9684115,1.68%,263.161,1.68%,114.899,1.49%
3/1/2021,111.7544311,2.62%,264.793,2.64%,115.383,1.97%
4/1/2021,112.6729306,4.16%,266.832,4.15%,116.1,3.08%
5/1/2021,113.5762414,4.99%,268.551,4.93%,116.766,3.46%
6/1/2021,114.6314399,5.39%,270.981,5.32%,117.327,3.59%
7/1/2021,115.1828772,5.37%,272.265,5.28%,117.682,3.58%
8/1/2021,115.4208348,5.25%,273.012,5.20%,118.049,3.58%
9/1/2021,115.7343144,5.39%,274.138,5.38%,118.342,3.69%
10/1/2021,,-100.00%,276.724,6.24%,118.845,4.12%
